section,category,metric,type,date,value
Vaccine Administration,Administration,Daily,Moderna,2021-03-26,25882
Vaccine Administration,Administration,Daily,Pfizer,2021-03-26,30942
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-26,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-27,2554741
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-27,58285
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-27,1223187
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-27,1272775
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-27,509
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-27,48899
Vaccine Administration,Administration,Daily,Janssen,2021-03-27,182
Vaccine Administration,Administration,Daily,Moderna,2021-03-27,21734
Vaccine Administration,Administration,Daily,Pfizer,2021-03-27,26982
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-27,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-28,2577466
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-28,58396
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-28,1233064
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-28,1285498
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-28,523
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-03-28,2906408
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-03-28,70437
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-03-28,1380135
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-03-28,1455074
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-03-28,678
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-28,22725
Vaccine Administration,Administration,Daily,Janssen,2021-03-28,111
Vaccine Administration,Administration,Daily,Moderna,2021-03-28,9877
Vaccine Administration,Administration,Daily,Pfizer,2021-03-28,12723
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-28,14
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-03-28,351569
Vaccine Administration,Administration,Weekly,Janssen,2021-03-28,12152
Vaccine Administration,Administration,Weekly,Moderna,2021-03-28,156948
Vaccine Administration,Administration,Weekly,Pfizer,2021-03-28,182299
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-03-28,169
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-03-28,2876595
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-03-28,167900
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-03-28,1370800
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-03-28,1337895
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-03-28,340190
Vaccine Administration,Distribution,Weekly,Janssen,2021-03-28,81400
Vaccine Administration,Distribution,Weekly,Moderna,2021-03-28,110200
Vaccine Administration,Distribution,Weekly,Pfizer,2021-03-28,148590
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-29,2617969
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-29,58680
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-29,1252510
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-29,1306268
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-29,526
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-29,40503
Vaccine Administration,Administration,Daily,Janssen,2021-03-29,284
Vaccine Administration,Administration,Daily,Moderna,2021-03-29,19446
Vaccine Administration,Administration,Daily,Pfizer,2021-03-29,20770
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-29,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-30,2665964
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-30,59503
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-30,1273991
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-30,1331958
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-30,528
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-30,47995
Vaccine Administration,Administration,Daily,Janssen,2021-03-30,823
Vaccine Administration,Administration,Daily,Moderna,2021-03-30,21481
Vaccine Administration,Administration,Daily,Pfizer,2021-03-30,25690
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-30,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-31,2716280
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-31,61092
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-31,1301223
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-31,1353436
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-31,545
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-31,50316
Vaccine Administration,Administration,Daily,Janssen,2021-03-31,1589
Vaccine Administration,Administration,Daily,Moderna,2021-03-31,27232
Vaccine Administration,Administration,Daily,Pfizer,2021-03-31,21478
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-31,17
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-01,2781290
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-01,63334
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-01,1329455
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-01,1387959
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-01,558
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-01,65010
Vaccine Administration,Administration,Daily,Janssen,2021-04-01,2242
Vaccine Administration,Administration,Daily,Moderna,2021-04-01,28232
Vaccine Administration,Administration,Daily,Pfizer,2021-04-01,34523
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-01,13
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-02,2852923
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-02,66781
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-02,1359829
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-02,1425653
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-02,676
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-02,71633
Vaccine Administration,Administration,Daily,Janssen,2021-04-02,3447
Vaccine Administration,Administration,Daily,Moderna,2021-04-02,30374
Vaccine Administration,Administration,Daily,Pfizer,2021-04-02,37694
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-02,118
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-03,2906308
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-03,70437
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-03,1380135
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-03,1455074
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-03,678
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-03,53385
Vaccine Administration,Administration,Daily,Janssen,2021-04-03,3656
Vaccine Administration,Administration,Daily,Moderna,2021-04-03,20306
Vaccine Administration,Administration,Daily,Pfizer,2021-04-03,29421
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-03,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-04,2916983
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-04,71143
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-04,1387258
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-04,1457920
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-04,678
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-04-04,3028666
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-04-04,85814
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-04-04,1434120
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-04-04,1507959
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-04-04,686
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-04,10675
Vaccine Administration,Administration,Daily,Janssen,2021-04-04,706
Vaccine Administration,Administration,Daily,Moderna,2021-04-04,7123
Vaccine Administration,Administration,Daily,Pfizer,2021-04-04,2846
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-04,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-04-04,122258
Vaccine Administration,Administration,Weekly,Janssen,2021-04-04,15377
Vaccine Administration,Administration,Weekly,Moderna,2021-04-04,53985
Vaccine Administration,Administration,Weekly,Pfizer,2021-04-04,52885
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-04-04,8
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-04-04,3005775
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-04-04,167900
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-04-04,1425100
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-04-04,1412775
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-04-04,129180
Vaccine Administration,Distribution,Weekly,Janssen,2021-04-04,0
Vaccine Administration,Distribution,Weekly,Moderna,2021-04-04,54300
Vaccine Administration,Distribution,Weekly,Pfizer,2021-04-04,74880
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-05,2965804
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-05,78709
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-05,1406489
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-05,1479943
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-05,680
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-05,48821
Vaccine Administration,Administration,Daily,Janssen,2021-04-05,7566
Vaccine Administration,Administration,Daily,Moderna,2021-04-05,19231
Vaccine Administration,Administration,Daily,Pfizer,2021-04-05,22023
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-05,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-06,3007818
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-06,84969
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-06,1423883
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-06,1498300
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-06,682
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-06,42014
Vaccine Administration,Administration,Daily,Janssen,2021-04-06,6260
Vaccine Administration,Administration,Daily,Moderna,2021-04-06,17394
Vaccine Administration,Administration,Daily,Pfizer,2021-04-06,18357
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-06,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-07,3028563
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-07,85814
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-07,1434120
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-07,1507958
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-07,686
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-07,20745
Vaccine Administration,Administration,Daily,Janssen,2021-04-07,845
Vaccine Administration,Administration,Daily,Moderna,2021-04-07,10237
Vaccine Administration,Administration,Daily,Pfizer,2021-04-07,9658
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-07,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-04-08,3028564
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-04-08,85814
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-04-08,1434120
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-04-08,1507959
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-04-08,686
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-04-08,1
Vaccine Administration,Administration,Daily,Janssen,2021-04-08,0
Vaccine Administration,Administration,Daily,Moderna,2021-04-08,0
Vaccine Administration,Administration,Daily,Pfizer,2021-04-08,1
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-04-08,0
Demographics,Age Group,0-9,All COVID Vaccines,NA,0
Demographics,Age Group,10-19,All COVID Vaccines,NA,0.0172
Demographics,Age Group,20-29,All COVID Vaccines,NA,0.0994
Demographics,Age Group,30-39,All COVID Vaccines,NA,0.1406
Demographics,Age Group,40-49,All COVID Vaccines,NA,0.1331
Demographics,Age Group,50-59,All COVID Vaccines,NA,0.1646
Demographics,Age Group,60-69,All COVID Vaccines,NA,0.2177
Demographics,Age Group,70-79,All COVID Vaccines,NA,0.157
Demographics,Age Group,80+,All COVID Vaccines,NA,0.0702
Demographics,Percent of Colorado Population,0-9,NA,NA,0.1161
Demographics,Percent of Colorado Population,10-19,NA,NA,0.1301
Demographics,Percent of Colorado Population,20-29,NA,NA,0.1466
Demographics,Percent of Colorado Population,30-39,NA,NA,0.146
Demographics,Percent of Colorado Population,40-49,NA,NA,0.1298
Demographics,Percent of Colorado Population,50-59,NA,NA,0.1248
Demographics,Percent of Colorado Population,60-69,NA,NA,0.1104
Demographics,Percent of Colorado Population,70-79,NA,NA,0.0644
Demographics,Percent of Colorado Population,80+,NA,NA,0.032
Demographics,Percent of Colorado Population,American Indian or Alaska Native,NA,NA,0.0056
Demographics,Percent of Colorado Population,Asian,NA,NA,0.0312
Demographics,Percent of Colorado Population,Black or African American,NA,NA,0.0392
Demographics,Percent of Colorado Population,Female,NA,NA,0.4996
Demographics,Percent of Colorado Population,"Hispanic, All Races",NA,NA,0.2169
Demographics,Percent of Colorado Population,Male,NA,NA,0.5004
Demographics,Percent of Colorado Population,Multiple Races - Non Hispanic,NA,NA,0.0265
Demographics,Percent of Colorado Population,Native Hawaiian or Other Pacific Islander,NA,NA,0.0012
Demographics,Percent of Colorado Population,Other,NA,NA,0.0019
Demographics,Percent of Colorado Population,White - Non Hispanic,NA,NA,0.6776
Demographics,Race and Ethnicity,American Indian or Alaskan Native - Non Hispanic,All COVID Vaccines,NA,0.0048
Demographics,Race and Ethnicity,Asian - Non Hispanic,All COVID Vaccines,NA,0.0256
Demographics,Race and Ethnicity,Black or African American - Non Hispanic,All COVID Vaccines,NA,0.0246
Demographics,Race and Ethnicity,"Hispanic, All Races",All COVID Vaccines,NA,0.0819
Demographics,Race and Ethnicity,Multi Race - Non Hispanic,All COVID Vaccines,NA,0.02
Demographics,Race and Ethnicity,Native Hawaiian or Other Pacific Islander - Non Hispanic,All COVID Vaccines,NA,0.0021
Demographics,Race and Ethnicity,Other,All COVID Vaccines,NA,5e-4
Demographics,Race and Ethnicity,Unknown,All COVID Vaccines,NA,0.1215
Demographics,Race and Ethnicity,White - Non Hispanic,All COVID Vaccines,NA,0.719
Demographics,Sex,Female,All COVID Vaccines,NA,0.5563
Demographics,Sex,Male,All COVID Vaccines,NA,0.4408
Demographics,Sex,Unknown,All COVID Vaccines,NA,0.0029
County-level Data,Doses Administered,Adams County,Count,NA,212720
County-level Data,Doses Administered,Alamosa County,Count,NA,8745
County-level Data,Doses Administered,Arapahoe County,Count,NA,312448
County-level Data,Doses Administered,Archuleta County,Count,NA,9269
County-level Data,Doses Administered,Baca County,Count,NA,1650
County-level Data,Doses Administered,Bent County,Count,NA,1294
County-level Data,Doses Administered,Boulder County,Count,NA,203430
County-level Data,Doses Administered,Broomfield County,Count,NA,45881
County-level Data,Doses Administered,Chaffee County,Count,NA,15609
County-level Data,Doses Administered,Cheyenne County,Count,NA,640
County-level Data,Doses Administered,Clear Creek County,Count,NA,3238
County-level Data,Doses Administered,Conejos County,Count,NA,4088
County-level Data,Doses Administered,Costilla County,Count,NA,2616
County-level Data,Doses Administered,Crowley County,Count,NA,1324
County-level Data,Doses Administered,Custer County,Count,NA,2820
County-level Data,Doses Administered,Delta County,Count,NA,15368
County-level Data,Doses Administered,Denver County,Count,NA,395720
County-level Data,Doses Administered,Dolores County,Count,NA,959
County-level Data,Doses Administered,Douglas County,Count,NA,188838
County-level Data,Doses Administered,Eagle County,Count,NA,37347
County-level Data,Doses Administered,El Paso County,Count,NA,294275
County-level Data,Doses Administered,Elbert County,Count,NA,7668
County-level Data,Doses Administered,Fremont County,Count,NA,20496
County-level Data,Doses Administered,Garfield County,Count,NA,33711
County-level Data,Doses Administered,Gilpin County,Count,NA,3023
County-level Data,Doses Administered,Grand County,Count,NA,9212
County-level Data,Doses Administered,Gunnison County,Count,NA,13025
County-level Data,Doses Administered,Hinsdale County,Count,NA,679
County-level Data,Doses Administered,Huerfano County,Count,NA,4233
County-level Data,Doses Administered,Jackson County,Count,NA,635
County-level Data,Doses Administered,Jefferson County,Count,NA,362943
County-level Data,Doses Administered,Kiowa County,Count,NA,714
County-level Data,Doses Administered,Kit Carson County,Count,NA,2881
County-level Data,Doses Administered,La Plata County,Count,NA,39870
County-level Data,Doses Administered,Lake County,Count,NA,4423
County-level Data,Doses Administered,Larimer County,Count,NA,202604
County-level Data,Doses Administered,Las Animas County,Count,NA,9922
County-level Data,Doses Administered,Lincoln County,Count,NA,2117
County-level Data,Doses Administered,Logan County,Count,NA,8064
County-level Data,Doses Administered,Mesa County,Count,NA,78178
County-level Data,Doses Administered,Mineral County,Count,NA,753
County-level Data,Doses Administered,Moffat County,Count,NA,5083
County-level Data,Doses Administered,Montezuma County,Count,NA,15989
County-level Data,Doses Administered,Montrose County,Count,NA,22548
County-level Data,Doses Administered,Morgan County,Count,NA,12191
County-level Data,Doses Administered,Otero County,Count,NA,8978
County-level Data,Doses Administered,Other,Count,NA,61216
County-level Data,Doses Administered,Ouray County,Count,NA,3715
County-level Data,Doses Administered,Park County,Count,NA,8015
County-level Data,Doses Administered,Phillips County,Count,NA,2495
County-level Data,Doses Administered,Pitkin County,Count,NA,10009
County-level Data,Doses Administered,Prowers County,Count,NA,4543
County-level Data,Doses Administered,Pueblo County,Count,NA,82677
County-level Data,Doses Administered,Rio Blanco County,Count,NA,2604
County-level Data,Doses Administered,Rio Grande County,Count,NA,7509
County-level Data,Doses Administered,Routt County,Count,NA,18815
County-level Data,Doses Administered,Saguache County,Count,NA,2333
County-level Data,Doses Administered,San Juan County,Count,NA,696
County-level Data,Doses Administered,San Miguel County,Count,NA,6758
County-level Data,Doses Administered,Sedgwick County,Count,NA,1428
County-level Data,Doses Administered,Summit County,Count,NA,23296
County-level Data,Doses Administered,Teller County,Count,NA,12793
County-level Data,Doses Administered,Washington County,Count,NA,1459
County-level Data,Doses Administered,Weld County,Count,NA,145372
County-level Data,Doses Administered,Yuma County,Count,NA,4612
County-level Data,"Doses Administered per 100,000 People",Adams County,"Rate per 100,000",NA,41074.75597864391
County-level Data,"Doses Administered per 100,000 People",Alamosa County,"Rate per 100,000",NA,54044.8674371176
County-level Data,"Doses Administered per 100,000 People",Arapahoe County,"Rate per 100,000",NA,47569.66118674466
County-level Data,"Doses Administered per 100,000 People",Archuleta County,"Rate per 100,000",NA,66197.68604485074
County-level Data,"Doses Administered per 100,000 People",Baca County,"Rate per 100,000",NA,46400.449943757034
County-level Data,"Doses Administered per 100,000 People",Bent County,"Rate per 100,000",NA,22318.040703690927
County-level Data,"Doses Administered per 100,000 People",Boulder County,"Rate per 100,000",NA,62179.82418603514
County-level Data,"Doses Administered per 100,000 People",Broomfield County,"Rate per 100,000",NA,64838.47262655097
County-level Data,"Doses Administered per 100,000 People",Chaffee County,"Rate per 100,000",NA,76661.2641815235
County-level Data,"Doses Administered per 100,000 People",Cheyenne County,"Rate per 100,000",NA,35068.49315068493
County-level Data,"Doses Administered per 100,000 People",Clear Creek County,"Rate per 100,000",NA,33244.35318275154
County-level Data,"Doses Administered per 100,000 People",Conejos County,"Rate per 100,000",NA,50091.900502389406
County-level Data,"Doses Administered per 100,000 People",Costilla County,"Rate per 100,000",NA,67561.98347107439
County-level Data,"Doses Administered per 100,000 People",Crowley County,"Rate per 100,000",NA,21949.602122015916
County-level Data,"Doses Administered per 100,000 People",Custer County,"Rate per 100,000",NA,55742.24154971338
County-level Data,"Doses Administered per 100,000 People",Delta County,"Rate per 100,000",NA,49299.0729156642
County-level Data,"Doses Administered per 100,000 People",Denver County,"Rate per 100,000",NA,54264.78836156597
County-level Data,"Doses Administered per 100,000 People",Dolores County,"Rate per 100,000",NA,47079.037800687285
County-level Data,"Doses Administered per 100,000 People",Douglas County,"Rate per 100,000",NA,53719.19164333994
County-level Data,"Doses Administered per 100,000 People",Eagle County,"Rate per 100,000",NA,67817.32340657344
County-level Data,"Doses Administered per 100,000 People",El Paso County,"Rate per 100,000",NA,40730.49842697438
County-level Data,"Doses Administered per 100,000 People",Elbert County,"Rate per 100,000",NA,28734.167728396915
County-level Data,"Doses Administered per 100,000 People",Fremont County,"Rate per 100,000",NA,43018.15510546752
County-level Data,"Doses Administered per 100,000 People",Garfield County,"Rate per 100,000",NA,56028.12126047069
County-level Data,"Doses Administered per 100,000 People",Gilpin County,"Rate per 100,000",NA,48640.386162510054
County-level Data,"Doses Administered per 100,000 People",Grand County,"Rate per 100,000",NA,58607.96538999873
County-level Data,"Doses Administered per 100,000 People",Gunnison County,"Rate per 100,000",NA,74449.84281223208
County-level Data,"Doses Administered per 100,000 People",Hinsdale County,"Rate per 100,000",NA,82905.9829059829
County-level Data,"Doses Administered per 100,000 People",Huerfano County,"Rate per 100,000",NA,61759.55646337905
County-level Data,"Doses Administered per 100,000 People",Jackson County,"Rate per 100,000",NA,45914.67823571945
County-level Data,"Doses Administered per 100,000 People",Jefferson County,"Rate per 100,000",NA,62245.725722498246
County-level Data,"Doses Administered per 100,000 People",Kiowa County,"Rate per 100,000",NA,51182.79569892473
County-level Data,"Doses Administered per 100,000 People",Kit Carson County,"Rate per 100,000",NA,40418.06958473625
County-level Data,"Doses Administered per 100,000 People",La Plata County,"Rate per 100,000",NA,70852.28888257037
County-level Data,"Doses Administered per 100,000 People",Lake County,"Rate per 100,000",NA,54733.32508352927
County-level Data,"Doses Administered per 100,000 People",Larimer County,"Rate per 100,000",NA,56761.6784987869
County-level Data,"Doses Administered per 100,000 People",Las Animas County,"Rate per 100,000",NA,68460.63616918512
County-level Data,"Doses Administered per 100,000 People",Lincoln County,"Rate per 100,000",NA,37192.55094869993
County-level Data,"Doses Administered per 100,000 People",Logan County,"Rate per 100,000",NA,36798.39372090901
County-level Data,"Doses Administered per 100,000 People",Mesa County,"Rate per 100,000",NA,50459.23076426584
County-level Data,"Doses Administered per 100,000 People",Mineral County,"Rate per 100,000",NA,98560.20942408376
County-level Data,"Doses Administered per 100,000 People",Moffat County,"Rate per 100,000",NA,38356.47449441594
County-level Data,"Doses Administered per 100,000 People",Montezuma County,"Rate per 100,000",NA,61120.030581039755
County-level Data,"Doses Administered per 100,000 People",Montrose County,"Rate per 100,000",NA,52725.35952297439
County-level Data,"Doses Administered per 100,000 People",Morgan County,"Rate per 100,000",NA,42061.137179133315
County-level Data,"Doses Administered per 100,000 People",Otero County,"Rate per 100,000",NA,49111.09895519939
County-level Data,"Doses Administered per 100,000 People",Other,"Rate per 100,000",NA,NA
County-level Data,"Doses Administered per 100,000 People",Ouray County,"Rate per 100,000",NA,75293.87920551277
County-level Data,"Doses Administered per 100,000 People",Park County,"Rate per 100,000",NA,42533.432392273404
County-level Data,"Doses Administered per 100,000 People",Phillips County,"Rate per 100,000",NA,58321.6456287985
County-level Data,"Doses Administered per 100,000 People",Pitkin County,"Rate per 100,000",NA,56369.677855372836
County-level Data,"Doses Administered per 100,000 People",Prowers County,"Rate per 100,000",NA,37477.313974591656
County-level Data,"Doses Administered per 100,000 People",Pueblo County,"Rate per 100,000",NA,49180.298614002735
County-level Data,"Doses Administered per 100,000 People",Rio Blanco County,"Rate per 100,000",NA,41287.458379578246
County-level Data,"Doses Administered per 100,000 People",Rio Grande County,"Rate per 100,000",NA,66817.93913507742
County-level Data,"Doses Administered per 100,000 People",Routt County,"Rate per 100,000",NA,73347.10743801654
County-level Data,"Doses Administered per 100,000 People",Saguache County,"Rate per 100,000",NA,34188.159437280185
County-level Data,"Doses Administered per 100,000 People",San Juan County,"Rate per 100,000",NA,95867.76859504133
County-level Data,"Doses Administered per 100,000 People",San Miguel County,"Rate per 100,000",NA,82676.78003425496
County-level Data,"Doses Administered per 100,000 People",Sedgwick County,"Rate per 100,000",NA,64064.602960969045
County-level Data,"Doses Administered per 100,000 People",Summit County,"Rate per 100,000",NA,75189.6201142562
County-level Data,"Doses Administered per 100,000 People",Teller County,"Rate per 100,000",NA,50455.53145336226
County-level Data,"Doses Administered per 100,000 People",Washington County,"Rate per 100,000",NA,30767.608603964574
County-level Data,"Doses Administered per 100,000 People",Weld County,"Rate per 100,000",NA,44900.74529825829
County-level Data,"Doses Administered per 100,000 People",Yuma County,"Rate per 100,000",NA,45831.26304283017
County-level Data,Percent of Cumulative Vaccines by Demographics,Adams,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Arapahoe,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Broomfield & Boulder Region,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Denver,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Douglas,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,El Paso,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Jefferson,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Larimer,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Mesa,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,North East Region,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,North West Region,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Pueblo,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,South Region,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,South Central Region,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,South West Region,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Weld,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,West Region,0-9,NA,0
County-level Data,Percent of Cumulative Vaccines by Demographics,Adams,10-19,NA,1.9
County-level Data,Percent of Cumulative Vaccines by Demographics,Arapahoe,10-19,NA,2
County-level Data,Percent of Cumulative Vaccines by Demographics,Broomfield & Boulder Region,10-19,NA,2.3
County-level Data,Percent of Cumulative Vaccines by Demographics,Denver,10-19,NA,1.4000000000000001
County-level Data,Percent of Cumulative Vaccines by Demographics,Douglas,10-19,NA,2.4
County-level Data,Percent of Cumulative Vaccines by Demographics,El Paso,10-19,NA,1.6
County-level Data,Percent of Cumulative Vaccines by Demographics,Jefferson,10-19,NA,1.6
County-level Data,Percent of Cumulative Vaccines by Demographics,Larimer,10-19,NA,1.4000000000000001
County-level Data,Percent of Cumulative Vaccines by Demographics,Mesa,10-19,NA,2
County-level Data,Percent of Cumulative Vaccines by Demographics,North East Region,10-19,NA,0.8999999999999999
County-level Data,Percent of Cumulative Vaccines by Demographics,North West Region,10-19,NA,1.7000000000000002
County-level Data,Percent of Cumulative Vaccines by Demographics,Pueblo,10-19,NA,1
